kappa,policy,alpha,delta,mean_profit,ci_low,ci_high,p_loss,mean_loss_given_loss,diff_vs_bh,diff_ci_low,diff_ci_high,beats_bh
0.05,"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.029064745268650494,0.022176273817965532,0.035953216719335455,0.59575,-0.37549836305453443,0.024613131448775204,0.023723195147557476,0.025503067749992933,True
0.05,"EMA(alpha=0.1, delta=0.05)",0.1,0.05,0.047021691027146914,0.040112916070206235,0.05393046598408759,0.59575,-0.35772151409414665,0.04257007720727163,0.041521899539214806,0.04361825487532845,True
0.05,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.08852881538099673,0.08161261781067251,0.09544501295132095,0.5938,-0.31426655337826154,0.08407720156112145,0.08263678845976398,0.08551761466247891,True
0.05,"EMA(alpha=0.3, delta=0.02)",0.3,0.02,0.021502233613665322,0.014594551684784218,0.028409915542546425,0.59575,-0.38297186056413257,0.017050619793790037,0.016005041498454487,0.018096198089125586,True
0.05,"EMA(alpha=0.3, delta=0.05)",0.3,0.05,0.04359868025534619,0.036638611999453397,0.05055874851123898,0.59575,-0.361141578833969,0.039147066435470904,0.03777206197917766,0.04052207089176415,True
0.05,"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.0868344936702179,0.08090702584862042,0.09276196149181537,0.4243,-0.275159570710969,0.08238287985034261,0.07825695240423476,0.08650880729645045,True
0.05,"EMA(alpha=0.6, delta=0.02)",0.6,0.02,0.024083157594905966,0.017139632376519977,0.031026682813291954,0.59575,-0.38049953692081395,0.019631543775030673,0.01835545961061243,0.020907627939448916,True
0.05,"EMA(alpha=0.6, delta=0.05)",0.6,0.05,0.06084675890121866,0.0551955722993301,0.06649794550310723,0.38065,-0.30487361401210256,0.05639514508134338,0.05191934194044434,0.06087094822224241,True
0.05,"EMA(alpha=0.6, delta=0.1)",0.6,0.1,4.10961312407998e-06,-8.162019434577558e-05,8.983942059393555e-05,0.00025,-0.14089626307700853,-0.004447504206751207,-0.011280075700686619,0.0023850672871842046,False
0.05,Buy-and-hold,,,0.004451613819875287,-0.0023813604719066022,0.011284588111657175,0.59575,-0.39961159053660483,0.0,0.0,0.0,False
0.05,Never-trade,,,0.0,0.0,0.0,0.0,,-0.004451613819875287,-0.011284588111657175,0.0023813604719066022,False
0.1,"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.027857853573789716,0.02102728659886148,0.03468842054871795,0.60315,-0.36860513315573173,0.030933300604219425,0.030230755480854094,0.03163584572758476,True
0.1,"EMA(alpha=0.1, delta=0.05)",0.1,0.05,0.04871968044965517,0.041883323903345,0.055556036995965334,0.60315,-0.3477428824418412,0.0517951274800849,0.05097318779933965,0.052617067160830144,True
0.1,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.09307977457227826,0.08626918459603207,0.09989036454852444,0.59935,-0.3012286114438565,0.09615522160270798,0.0949302726636936,0.09738017054172236,True
0.1,"EMA(alpha=0.3, delta=0.02)",0.3,0.02,0.019731607641083143,0.012886283565154238,0.02657693171701205,0.60315,-0.37652068980904446,0.022807054671512863,0.021918478779337815,0.02369563056368791,True
0.1,"EMA(alpha=0.3, delta=0.05)",0.3,0.05,0.04700454397236133,0.040138130694731024,0.05387095724999164,0.60315,-0.3492577019548301,0.05007999100279105,0.048945882459492995,0.051214099546089104,True
0.1,"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.08064398174001332,0.07494244831178065,0.08634551516824598,0.41295,-0.26932163699627515,0.08371942877044304,0.07953782985543095,0.08790102768545513,True
0.1,"EMA(alpha=0.6, delta=0.02)",0.6,0.02,0.02399919044151132,0.01712463502350719,0.030873745859515453,0.60315,-0.372751217661915,0.027074637471941037,0.025985926752929968,0.028163348190952106,True
0.1,"EMA(alpha=0.6, delta=0.05)",0.6,0.05,0.05707996279619283,0.051518704379824656,0.06264122121256101,0.3932,-0.29974640139430525,0.060155409826622555,0.05581842014555817,0.06449239950768694,True
0.1,"EMA(alpha=0.6, delta=0.1)",0.6,0.1,3.238213735396076e-05,-3.108568560223148e-05,9.5849960310153e-05,0.0,,0.0031078291677836788,-0.0037116867235027157,0.009927345059070072,False
0.1,Buy-and-hold,,,-0.0030754470304297185,-0.009895153363250158,0.0037442593023907203,0.60315,-0.4001602503541044,0.0,0.0,0.0,False
0.1,Never-trade,,,0.0,0.0,0.0,0.0,,0.0030754470304297185,-0.0037442593023907203,0.009895153363250158,False
0.2,"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.031928616289322656,0.025115907780553795,0.03874132479809152,0.60525,-0.36258334707663564,0.037286684611522264,0.0366920532362624,0.03788131598678213,True
0.2,"EMA(alpha=0.1, delta=0.05)",0.1,0.05,0.05390914507526279,0.04710463264750261,0.06071365750302297,0.60525,-0.340207060879357,0.05926721339746239,0.05859070619692364,0.059943720598001134,True
0.2,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.09709706434231337,0.09035571436867972,0.10383841431594702,0.59805,-0.29315689054976846,0.10245513266451296,0.1011862442240365,0.10372402110498942,True
0.2,"EMA(alpha=0.3, delta=0.02)",0.3,0.02,0.024938897245717014,0.01811530043681989,0.031762494054614135,0.60525,-0.36968900043754754,0.03029696556791662,0.029545925947213968,0.03104800518861927,True
0.2,"EMA(alpha=0.3, delta=0.05)",0.3,0.05,0.054267293962291796,0.04744875300156496,0.06108583492301863,0.60525,-0.3397528840801888,0.059625362284491404,0.058691301498458213,0.060559423070524594,True
0.2,"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.07109714450440865,0.06585422547485371,0.0763400635339636,0.35695,-0.26228829321912017,0.07645521282660826,0.07182630564281133,0.0810841200104052,True
0.2,"EMA(alpha=0.6, delta=0.02)",0.6,0.02,0.02925993912373614,0.022420925532408417,0.036098952715063866,0.60525,-0.3655688625693426,0.034618007445935746,0.03368035198244839,0.0355556629094231,True
0.2,"EMA(alpha=0.6, delta=0.05)",0.6,0.05,0.05744017198609037,0.051927193956661774,0.06295315001551896,0.3977,-0.29693624738451835,0.06279824030828997,0.05855347884580726,0.06704300177077269,True
0.2,"EMA(alpha=0.6, delta=0.1)",0.6,0.1,-5.2557912404459784e-05,-0.0001045641680762222,-5.516567326973736e-07,0.0002,-0.2627895620222989,0.005305510409795145,-0.001502292370902155,0.012113313190492445,False
0.2,Buy-and-hold,,,-0.005358068322199604,-0.012166252424047366,0.0014501157796481569,0.60525,-0.39997103068247747,0.0,0.0,0.0,False
0.2,Never-trade,,,0.0,0.0,0.0,0.0,,0.005358068322199604,-0.0014501157796481569,0.012166252424047366,False
0.3,"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.04306616111465954,0.03623244770122723,0.049899874528091845,0.5971,-0.3599007249174131,0.03968488879559661,0.03911275295017445,0.040257024641018775,True
0.3,"EMA(alpha=0.1, delta=0.05)",0.1,0.05,0.06469476459939363,0.05787390186371511,0.07151562733507215,0.5971,-0.3376390016609207,0.06131349228033071,0.0606694985925661,0.06195748596809531,True
0.3,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.10341032573187049,0.09672788635657656,0.11009276510716443,0.5828,-0.28959829343743254,0.10002905341280754,0.09842700716276356,0.10163109966285153,True
0.3,"EMA(alpha=0.3, delta=0.02)",0.3,0.02,0.03724656159853892,0.030412251781940545,0.04408087141513729,0.5971,-0.3655165533902767,0.033865289279476,0.03316698992252536,0.03456358863642663,True
0.3,"EMA(alpha=0.3, delta=0.05)",0.3,0.05,0.06619946858664545,0.059376298518630785,0.07302263865466012,0.5971,-0.33578718780362876,0.06281819626758253,0.061956796693715184,0.06367959584144987,True
0.3,"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.06647835226670709,0.06156998964365616,0.07138671488975802,0.30955,-0.2581703741221423,0.06309707994764417,0.05810656056404629,0.06808759933124205,True
0.3,"EMA(alpha=0.6, delta=0.02)",0.6,0.02,0.04196362948190435,0.03512706924341305,0.048800189720395654,0.5971,-0.36049227475190704,0.03858235716284143,0.03771797289220797,0.039446741433474895,True
0.3,"EMA(alpha=0.6, delta=0.05)",0.6,0.05,0.06663218914089794,0.06104840934150318,0.07221596894029271,0.3989,-0.2959786399267332,0.06325091682183502,0.05909400662229655,0.06740782702137349,True
0.3,"EMA(alpha=0.6, delta=0.1)",0.6,0.1,-4.134373074004438e-07,-8.729127558608671e-05,8.646440097128583e-05,0.00025,-0.15878381885235587,-0.0033816857563703237,-0.010218893116213336,0.003455521603472688,False
0.3,Buy-and-hold,,,0.0033812723190629226,-0.0034565061916062953,0.010219050829732141,0.5971,-0.39977231586768486,0.0,0.0,0.0,False
0.3,Never-trade,,,0.0,0.0,0.0,0.0,,-0.0033812723190629226,-0.010219050829732141,0.0034565061916062953,False
0.5,"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.03218913357235132,0.025405967482248833,0.03897229966245381,0.60955,-0.35789410311665804,0.04217348952046815,0.04161325018811036,0.04273372885282594,True
0.5,"EMA(alpha=0.1, delta=0.05)",0.1,0.05,0.053185197603981396,0.046410608692333835,0.05995978651562896,0.60955,-0.3364688143419241,0.06316955355209822,0.06254299704521461,0.06379611005898182,True
0.5,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.08866381610434447,0.08215038713681597,0.09517724507187297,0.5737,-0.2875187693007246,0.09864817205246129,0.0965688241468941,0.10072751995802848,True
0.5,"EMA(alpha=0.3, delta=0.02)",0.3,0.02,0.027997048938490122,0.02121364071926013,0.034780457157720115,0.60955,-0.36205874715932423,0.03798140488660695,0.0373206972754439,0.038642112497770005,True
0.5,"EMA(alpha=0.3, delta=0.05)",0.3,0.05,0.0569940718333876,0.05021977927801921,0.063768364388756,0.60955,-0.33245303424184636,0.06697842778150442,0.06618745821402112,0.06776939734898772,True
0.5,"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.04810332224688048,0.04369077086030639,0.052515873633454564,0.2626,-0.2572984741070311,0.05808767819499731,0.052747079536801814,0.0634282768531928,True
0.5,"EMA(alpha=0.6, delta=0.02)",0.6,0.02,0.0336223867879459,0.026839704838355127,0.04040506873753667,0.60955,-0.35619837677995825,0.04360674273606272,0.042815946450582315,0.04439753902154313,True
0.5,"EMA(alpha=0.6, delta=0.05)",0.6,0.05,0.059381706918025155,0.05370353723835656,0.06505987659769374,0.4326,-0.2964460583133653,0.06936606286614198,0.06545652375805776,0.07327560197422621,True
0.5,"EMA(alpha=0.6, delta=0.1)",0.6,0.1,3.703811697435398e-05,-7.557533907204147e-05,0.00014965157302074944,0.0002,-0.19192447138495702,0.01002139406509118,0.0032236777614840072,0.016819110368698355,True
0.5,Buy-and-hold,,,-0.009984355948116828,-0.016782944676741827,-0.003185767219491829,0.60955,-0.40054608907337,0.0,0.0,0.0,False
0.5,Never-trade,,,0.0,0.0,0.0,0.0,,0.009984355948116828,0.003185767219491829,0.016782944676741827,True
0.7,"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.04053358695013042,0.0337392924159553,0.04732788148430554,0.60385,-0.35506454558504363,0.04467934361112625,0.04410196306575286,0.04525672415649964,True
0.7,"EMA(alpha=0.1, delta=0.05)",0.1,0.05,0.059989040943193524,0.05320443084348366,0.06677365104290339,0.60385,-0.3350895942055041,0.06413479760418936,0.06351271677301351,0.0647568784353652,True
0.7,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.09014675912780677,0.08374789196655257,0.09654562628906098,0.5479,-0.28585380026366985,0.0942925157888026,0.09182366148637064,0.09676137009123456,True
0.7,"EMA(alpha=0.3, delta=0.02)",0.3,0.02,0.03648714609223085,0.029690402594581857,0.043283889589879845,0.60385,-0.3592868842252347,0.04063290275322669,0.039962578398204614,0.04130322710824876,True
0.7,"EMA(alpha=0.3, delta=0.05)",0.3,0.05,0.06506218031643139,0.05827594060827402,0.07184842002458877,0.60385,-0.3300135220229624,0.06920793697742722,0.06845447920630268,0.06996139474855176,True
0.7,"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.04358861113231883,0.03939692372263824,0.047780298541999416,0.2385,-0.2557020865722257,0.04773436779331466,0.04221351965422983,0.053255215932399486,True
0.7,"EMA(alpha=0.6, delta=0.02)",0.6,0.02,0.04224094583246364,0.03544775396300762,0.04903413770191967,0.60385,-0.35321864678582937,0.04638670249345947,0.045606976393609826,0.047166428593309113,True
0.7,"EMA(alpha=0.6, delta=0.05)",0.6,0.05,0.06887102287513472,0.06299737955717405,0.07474466619309539,0.4604,-0.29384253405572985,0.07301677953613055,0.06941728791308059,0.0766162711591805,True
0.7,"EMA(alpha=0.6, delta=0.1)",0.6,0.1,-3.544038537702753e-05,-0.00012770941216503487,5.682864141097981e-05,0.0003,-0.23879899640317406,0.004110316275618803,-0.002702906748843042,0.010923539300080647,False
