jump_rate,jump_scale,cost,best_policy,best_mean_profit,best_p_loss,bh_mean_profit,diff_vs_bh,diff_ci_low,diff_ci_high,best_beats_bh,any_ema_beats_bh
0.0,0.2,0.01,"EMA(alpha=0.1, delta=0.1)",0.08541848074580302,0.59175,-0.01749710623608425,0.10291558698188728,0.10135245650993704,0.10447871745383752,True,True
0.02,0.2,0.01,"EMA(alpha=0.1, delta=0.1)",0.0833957759563224,0.5861,-0.00938430905801916,0.09278008501434155,0.09101840767665911,0.094541762352024,True,True
0.05,0.2,0.01,"EMA(alpha=0.1, delta=0.1)",0.0612397127356186,0.59735,-0.01737513100647565,0.07861484374209424,0.07654170772166945,0.08068797976251903,True,True
0.1,0.2,0.01,"EMA(alpha=0.1, delta=0.1)",0.050518653437172614,0.5984,-0.013801835197334779,0.0643204886345074,0.06202927511752087,0.06661170215149392,True,True
0.2,0.2,0.01,"EMA(alpha=0.1, delta=0.1)",0.036663939283104165,0.589,-0.002002357297206694,0.03866629658031086,0.035954143968823626,0.04137844919179809,True,True
