kappa,cost,best_policy,alpha,delta,best_mean_profit,bh_mean_profit,diff_vs_bh,diff_ci_low,diff_ci_high,any_ema_beats_bh
0.05,0.0,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.08498447433710507,0.0020113100143357506,0.08297316432276933,0.08150349166757086,0.0844428369779678,True
0.05,0.01,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.07503697433710506,-0.007988689985664259,0.08302566432276932,0.08155777013120662,0.08449355851433203,True
0.05,0.02,"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.06782086806053533,-0.017988689985664268,0.08580955804619961,0.08170201637528067,0.08991709971711855,True
0.1,0.0,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.09135762815695761,-0.004166751070291031,0.09552437922724864,0.09424588074429618,0.0968028777102011,True
0.1,0.01,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.0814311281569576,-0.014166751070291039,0.09559787922724863,0.094323259275504,0.09687249917899327,True
0.1,0.02,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.0715046281569576,-0.024166751070291047,0.09567137922724865,0.09440053936406967,0.09694221909042763,True
0.2,0.0,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.09642663478163079,-0.005811961457589656,0.10223859623922044,0.1009416573561896,0.10353553512225128,True
0.2,0.01,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.08657063478163077,-0.015811961457589667,0.10238259623922044,0.10109076903295655,0.10367442344548433,True
0.2,0.02,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.07671463478163078,-0.025811961457589672,0.10252659623922045,0.10123968916135795,0.10381350331708294,True
0.3,0.0,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.1018840015795451,-0.00037698612348143466,0.10226098770302652,0.10070003972097774,0.1038219356850753,True
0.3,0.01,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.09218600157954508,-0.010376986123481443,0.10256298770302653,0.10100942072862985,0.10411655467742321,True
0.3,0.02,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.08248800157954508,-0.020376986123481454,0.10286498770302653,0.10131847316174675,0.10441150224430631,True
0.5,0.0,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.09240840863778028,-0.005065555247120406,0.09747396388490069,0.09535451084184406,0.09959341692795733,True
0.5,0.01,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.0830959086377803,-0.015065555247120417,0.0981614638849007,0.09605360941682937,0.10026931835297202,True
0.5,0.02,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.07378340863778028,-0.025065555247120425,0.09884896388490069,0.09675218557702465,0.10094574219277673,True
0.7,0.0,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.09467178412467706,0.005353550197799198,0.08931823392687786,0.08671959542680764,0.09191687242694808,True
0.7,0.01,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.08576928412467706,-0.0046464498022008105,0.09041573392687786,0.0878319445048851,0.09299952334887063,True
0.7,0.02,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.07686678412467705,-0.01464644980220082,0.09151323392687787,0.08894364894424542,0.09408281890951031,True
1.0,0.0,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.08826952261202742,-0.0033234102747153388,0.09159293288674275,0.08898138824439665,0.09420447752908885,True
1.0,0.01,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.0794090226120274,-0.013323410274715345,0.09273243288674275,0.09013502535550844,0.09532984041797707,True
1.0,0.02,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.0705485226120274,-0.023323410274715354,0.09387193288674275,0.09128798917881026,0.09645587659467525,True
