round,n_total,half_width
0,1000,0.030666027561095575
1,2000,0.02146352085195018
2,4000,0.015243352155307833
3,8000,0.010784822844002753
4,16000,0.007615425578896298
5,32000,0.005389602208162582
6,64000,0.003813080619482409
