sigma_p,policy,alpha,delta,mean_profit,ci_low,ci_high,p_loss,mean_loss_given_loss,diff_vs_bh,diff_ci_low,diff_ci_high,beats_bh
0.05,"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.05135805821492476,0.044540399361799606,0.05817571706804991,0.5969,-0.3515809803241986,0.04882791096439597,0.04820380059753723,0.0494520213312547,True
0.05,"EMA(alpha=0.1, delta=0.05)",0.1,0.05,0.06947967236943074,0.06266869142825565,0.07629065331060583,0.5969,-0.33306737987424756,0.06694952511890197,0.06630042309249203,0.06759862714531191,True
0.05,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.09381206894830932,0.08743923531367755,0.10018490258294109,0.53635,-0.28559438813052357,0.09128192169778053,0.08866308602242924,0.09390075737313182,True
0.05,"EMA(alpha=0.3, delta=0.02)",0.3,0.02,0.04822731924015512,0.04141106988056637,0.055043568599743874,0.5969,-0.3547052406738664,0.04569717198962634,0.04501042859406464,0.04638391538518804,True
0.05,"EMA(alpha=0.3, delta=0.05)",0.3,0.05,0.07458602291679813,0.06777951401460633,0.08139253181898992,0.5969,-0.3276815654961707,0.07205587566626935,0.07131122221731498,0.07280052911522372,True
0.05,"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.05364568303507515,0.049124480479161015,0.05816688559098929,0.2689,-0.2585962285225889,0.051115535784546355,0.04580558814496356,0.05642548342412915,True
0.05,"EMA(alpha=0.6, delta=0.02)",0.6,0.02,0.05379593500344707,0.04698223819919278,0.06060963180770136,0.5969,-0.34895054478472887,0.0512657877529183,0.05049564625125051,0.05203592925458608,True
0.05,"EMA(alpha=0.6, delta=0.05)",0.6,0.05,0.08895072616844875,0.08258624539468985,0.09531520694220764,0.52835,-0.2946285002406053,0.08642057891791996,0.08378445503901778,0.08905670279682214,True
0.05,"EMA(alpha=0.6, delta=0.1)",0.6,0.1,0.0003935490633819264,3.055113986545849e-05,0.0007565469868983944,0.00165,-0.22635272433945716,-0.0021365981871468583,-0.008963025499407274,0.004689829125113558,False
0.05,Buy-and-hold,,,0.0025301472505287847,-0.004304106810074546,0.009364401311132116,0.5969,-0.4006326459850766,0.0,0.0,0.0,False
0.05,Never-trade,,,0.0,0.0,0.0,0.0,,-0.0025301472505287847,-0.009364401311132116,0.004304106810074546,False
0.08,"EMA(alpha=0.1, delta=0.02)",0.1,0.02,0.0711830502938564,0.06434887331218198,0.07801722727553081,0.6,-0.3282691115945221,0.07110290607469935,0.07012066567558657,0.07208514647381213,True
0.08,"EMA(alpha=0.1, delta=0.05)",0.1,0.05,0.08928198908688958,0.08244792412134158,0.09611605405243759,0.6,-0.3103902568856987,0.08920184486773255,0.08824652380945555,0.09015716592600956,True
0.08,"EMA(alpha=0.1, delta=0.1)",0.1,0.1,0.12279542732045289,0.11597858363284569,0.12961227100806008,0.6,-0.27607502847115506,0.12271528310129584,0.12171722634102597,0.12371333986156571,True
0.08,"EMA(alpha=0.3, delta=0.02)",0.3,0.02,0.06440507962513597,0.05757223063993308,0.07123792861033887,0.6,-0.3351135701127659,0.06432493540597893,0.06322900777682562,0.06542086303513224,True
0.08,"EMA(alpha=0.3, delta=0.05)",0.3,0.05,0.08789973772073681,0.08107023170946748,0.09472924373200614,0.6,-0.3117209099061088,0.08781959350157977,0.08674541215758046,0.08889377484557907,True
0.08,"EMA(alpha=0.3, delta=0.1)",0.3,0.1,0.1386107713231793,0.13181940655414268,0.14540213609221594,0.5981,-0.2587441481982239,0.13853062710402228,0.13727587501160282,0.13978537919644174,True
0.08,"EMA(alpha=0.6, delta=0.02)",0.6,0.02,0.06613294333268939,0.05929991349847821,0.07296597316690057,0.6,-0.3333831077084818,0.06605279911353235,0.06485843967327483,0.06724715855378986,True
0.08,"EMA(alpha=0.6, delta=0.05)",0.6,0.05,0.11088778841770189,0.10406255722234685,0.11771301961305693,0.6,-0.28823712884044655,0.11080764419854486,0.1095450331665099,0.11207025523057981,True
0.08,"EMA(alpha=0.6, delta=0.1)",0.6,0.1,0.07152345364946547,0.06717260527869126,0.07587430202023968,0.23125,-0.19890284798748917,0.07144330943030842,0.06576963049495858,0.07711698836565826,True
0.08,Buy-and-hold,,,8.014421915704482e-05,-0.006804709571852106,0.006964998010166196,0.6,-0.40020919095150004,0.0,0.0,0.0,False
0.08,Never-trade,,,0.0,0.0,0.0,0.0,,-8.014421915704482e-05,-0.006964998010166196,0.006804709571852106,False
