timestamp,price
1783688405,0.175
1783692005,0.175
1783695606,0.175
1783699205,0.175
1783702804,0.175
1783706405,0.175
1783710005,0.185
1783713605,0.215
1783717206,0.235
1783724421,0.235
1783728008,0.225
1783731605,0.225
1783735205,0.255
1783738805,0.235
1783742407,0.235
1783746006,0.225
1783749608,0.225
1783753205,0.225
1783756805,0.235
1783760405,0.235
1783764005,0.225
1783767605,0.215
1783771208,0.215
1783774805,0.215
1783778405,0.215
1783782006,0.255
1783785604,0.24
1783789206,0.245
1783792807,0.235
1783796405,0.225
1783800006,0.225
1783803606,0.225
1783807204,0.225
1783810804,0.175
1783814420,0.205
1783818005,0.195
1783821606,0.195
1783825206,0.195
1783828805,0.195
1783832404,0.19
1783836005,0.185
1783839609,0.185
1783843204,0.185
1783846805,0.185
1783850405,0.175
1783854019,0.175
1783857609,0.175
1783861205,0.175
1783864805,0.175
1783868405,0.175
1783872004,0.175
1783875605,0.175
1783879207,0.165
1783882805,0.165
1783886406,0.165
1783890006,0.17
1783893609,0.175
1783897204,0.175
1783900808,0.175
1783904405,0.175
1783908004,0.175
1783911605,0.175
1783915205,0.175
1783918807,0.17
1783922407,0.175
1783926006,0.175
1783929607,0.175
1783933206,0.165
1783936805,0.165
1783940404,0.155
1783944008,0.155
1783947604,0.155
1783951219,0.155
1783954823,0.165
1783958405,0.155
1783962006,0.155
1783965605,0.155
1783969206,0.155
1783972806,0.155
1783976406,0.155
1783980005,0.155
1783983606,0.155
1783987208,0.155
1783990804,0.145
1783994404,0.135
1783998007,0.135
1784001605,0.135
1784005205,0.125
1784008806,0.125
1784012408,0.125
1784016005,0.125
1784019605,0.125
1784023206,0.125
1784026805,0.125
1784030411,0.125
1784034008,0.125
1784037612,0.125
1784041208,0.125
1784044812,0.125
1784048414,0.125
1784052016,0.115
1784055607,0.105
1784059206,0.105
1784062806,0.105
1784066405,0.115
1784070006,0.115
1784073609,0.115
1784077207,0.115
1784080809,0.115
1784084407,0.115
1784088005,0.115
1784091621,0.115
1784095208,0.105
1784098820,0.105
1784102421,0.105
1784106007,0.105
1784109605,0.105
1784113208,0.105
1784116821,0.105
1784120406,0.105
1784124006,0.105
1784127610,0.115
1784131206,0.12
1784134807,0.125
1784138410,0.125
1784142009,0.115
1784145606,0.115
1784149207,0.115
1784152805,0.115
1784156406,0.115
1784160011,0.115
1784163605,0.115
1784167205,0.115
1784170809,0.115
1784174406,0.115
1784178005,0.115
1784181608,0.115
1784185207,0.115
1784188804,0.115
1784192410,0.125
1784196007,0.12
1784199606,0.12
1784203207,0.12
1784206807,0.12
1784210405,0.12
1784214008,0.115
1784217605,0.125
1784221206,0.125
1784224821,0.115
1784228406,0.115
1784232007,0.115
1784235607,0.115
1784239206,0.115
1784242808,0.115
1784246410,0.115
1784250005,0.115
1784253606,0.115
1784257207,0.115
1784260806,0.115
1784264407,0.115
1784268008,0.115
1784271604,0.115
1784275205,0.115
1784278806,0.115
1784282408,0.115
1784286005,0.115
1784289609,0.115
1784293205,0.115
1784296806,0.115
1784300407,0.115
1784304022,0.115
1784307608,0.115
1784311224,0.115
1784314806,0.105
1784318405,0.115
1784322006,0.115
1784325606,0.115
1784329208,0.115
1784332807,0.115
1784336406,0.125
1784340006,0.125
1784343607,0.125
1784347205,0.125
1784350806,0.115
1784354406,0.115
1784358006,0.115
1784361605,0.115
1784365209,0.115
1784368805,0.115
1784372406,0.115
1784376019,0.115
1784379606,0.115
1784383207,0.115
1784386807,0.115
1784390406,0.115
1784394007,0.115
1784397608,0.115
1784401205,0.105
1784404807,0.105
1784408408,0.105
1784412006,0.105
1784415608,0.095
1784419208,0.095
1784422806,0.095
1784426406,0.095
1784430006,0.095
1784433605,0.095
1784437207,0.095
1784440809,0.095
1784444405,0.095
1784448006,0.095
1784451607,0.095
1784455205,0.095
1784458806,0.095
1784462408,0.095
1784466008,0.095
1784469607,0.095
1784473207,0.095
1784476821,0.095
1784480410,0.095
1784484007,0.105
1784487607,0.115
1784491208,0.12
1784494821,0.135
1784498407,0.13
1784502006,0.135
1784505622,0.13
1784509207,0.135
1784512806,0.135
1784516407,0.135
1784520005,0.135
1784523619,0.135
1784527209,0.135
1784530806,0.135
1784534405,0.155
1784538008,0.155
1784541605,0.155
1784545208,0.145
1784548807,0.155
1784552409,0.145
1784556005,0.145
1784559611,0.145
1784563208,0.145
1784566815,0.145
1784570411,0.145
1784574008,0.135
1784577622,0.135
1784581212,0.135
1784584805,0.135
1784588405,0.135
1784592011,0.135
1784595610,0.135
1784599210,0.135
1784602811,0.145
1784606422,0.145
1784610008,0.145
1784613611,0.135
1784617211,0.145
1784620808,0.145
1784624410,0.145
1784628008,0.145
1784631608,0.145
1784635212,0.145
1784638809,0.145
1784642407,0.135
1784646023,0.135
1784649610,0.135
1784653207,0.135
1784656820,0.135
1784660405,0.135
1784664006,0.135
1784667617,0.135
1784671207,0.135
1784674820,0.145
1784678409,0.145
1784682006,0.145
1784685607,0.14
1784689209,0.135
1784692807,0.135
1784696406,0.135
1784700024,0.135
1784703607,0.135
1784707205,0.135
1784710809,0.135
1784714406,0.135
1784718006,0.135
1784721609,0.135
1784725207,0.135
1784728805,0.135
1784732410,0.145
1784736007,0.145
1784739612,0.145
1784743209,0.145
1784746806,0.145
1784750408,0.145
1784754010,0.145
1784757611,0.145
1784761208,0.135
1784764816,0.135
1784768421,0.135
1784772008,0.135
1784775611,0.135
1784779210,0.135
1784782818,0.135
1784786420,0.135
1784790012,0.135
1784793606,0.135
1784797214,0.135
1784800813,0.135
1784804408,0.135
1784808020,0.135
1784811610,0.135
1784815209,0.135
1784818816,0.125
1784822410,0.125
1784826017,0.125
1784829615,0.125
1784833212,0.115
1784836813,0.115
1784840416,0.115
1784844012,0.115
1784847610,0.105
1784851215,0.105
1784854808,0.105
1784858410,0.105
1784862017,0.115
1784865610,0.115
1784869219,0.115
1784872814,0.115
1784876409,0.115
1784880010,0.115
1784883616,0.115
1784887211,0.115
1784890810,0.115
1784894419,0.105
1784898013,0.105
1784901612,0.105
1784905221,0.115
1784908813,0.115
1784912412,0.105
1784916014,0.105
1784919613,0.105
1784923214,0.105
1784926814,0.105
1784930412,0.105
1784934011,0.105
1784937616,0.105
1784941214,0.105
1784944811,0.105
1784948412,0.105
1784952012,0.115
1784955612,0.125
1784959221,0.125
1784962828,0.125
1784966414,0.125
1784970014,0.125
1784973613,0.125
1784977210,0.125
1784980834,0.125
1784984413,0.125
1784988012,0.125
1784991629,0.125
1784995214,0.125
1784998814,0.135
1785002418,0.145
1785006014,0.145
1785009614,0.145
1785013236,0.145
1785016813,0.145
1785020434,0.145
1785024015,0.145
1785027611,0.145
1785031210,0.155
1785034818,0.155
1785038411,0.155
1785042011,0.155
1785045617,0.155
1785049236,0.155
1785052812,0.155
1785056412,0.165
1785060010,0.165
1785063610,0.165
1785067218,0.165
1785070810,0.165
1785074413,0.155
1785078042,0.155
1785081613,0.155
1785085214,0.155
1785088819,0.155
1785092415,0.155
1785096029,0.165
1785099638,0.165
1785103211,0.165
1785106812,0.165
1785110420,0.145
1785114012,0.135
1785117610,0.135
1785121216,0.145
1785124816,0.145
1785128412,0.135
1785132017,0.135
1785135613,0.135
1785139213,0.135
1785142814,0.135
1785146417,0.135
1785150015,0.135
1785153628,0.135
1785157219,0.135
1785160819,0.135
1785164426,0.125
1785168017,0.125
1785171623,0.125
1785175221,0.125
1785178825,0.115
1785182426,0.115
1785186020,0.115
1785189617,0.115
1785193218,0.125
1785196824,0.125
1785200413,0.125
1785204012,0.125
1785207622,0.125
1785211224,0.125
1785214820,0.125
1785218426,0.125
1785222034,0.125
1785225616,0.125
1785232822,0.125
1785236430,0.125
1785240043,0.125
1785243616,0.125
1785247220,0.125
1785250825,0.125
1785254415,0.135
1785258024,0.135
1785261627,0.135
1785265238,0.135
1785268830,0.135
1785272449,0.135
1785276041,0.125
1785279648,0.105
1785286825,0.115
1785290436,0.115
1785294038,0.115
1785297631,0.115
1785301249,0.105
1785304845,0.105
1785308447,0.105
1785312030,0.095
1785315631,0.095
1785319228,0.095
1785322835,0.095
1785326436,0.095
1785330031,0.095
1785333633,0.095
1785337244,0.095
1785340847,0.095
1785344431,0.095
1785348052,0.095
1785351613,0.095
1785355209,0.095
1785358811,0.095
1785362411,0.095
1785366011,0.085
1785369624,0.085
1785373213,0.085
1785376811,0.085
1785380410,0.085
1785384009,0.085
1785387608,0.085
1785391210,0.075
1785394808,0.075
1785398409,0.075
1785402009,0.075
1785405609,0.075
1785409208,0.075
1785412808,0.075
1785416409,0.065
1785420011,0.065
1785423611,0.065
1785427210,0.065
1785430811,0.065
1785434412,0.065
1785438010,0.065
1785441609,0.065
1785445208,0.065
1785448807,0.065
1785452409,0.065
1785456021,0.065
1785459608,0.065
1785463208,0.075
1785466810,0.075
1785470409,0.075
1785474012,0.07
1785477608,0.075
1785481209,0.065
1785484809,0.065
1785488411,0.065
1785492010,0.065
1785495614,0.065
1785499210,0.065
1785502810,0.065
1785506409,0.065
1785510025,0.065
1785513610,0.065
1785517211,0.065
1785520812,0.065
1785524427,0.065
1785528019,0.065
1785531611,0.065
1785535211,0.065
1785538810,0.065
1785542412,0.065
1785546009,0.065
1785549608,0.065
1785553209,0.065
1785556810,0.065
1785560413,0.065
1785564026,0.065
1785567609,0.065
1785571210,0.065
1785574813,0.065
1785578410,0.065
1785582040,0.065
1785585612,0.065
1785589207,0.065
1785592807,0.065
1785596408,0.065
1785600010,0.065
1785603613,0.065
1785607208,0.065
1785610813,0.065
1785614411,0.065
1785618008,0.065
1785621608,0.065
1785625209,0.065
1785628813,0.065
1785632408,0.065
1785636012,0.07
1785639613,0.095
1785643210,0.105
1785646808,0.105
1785650425,0.105
1785654009,0.11
1785657609,0.115
1785661212,0.125
1785664811,0.115
1785668408,0.105
1785672011,0.105
1785675610,0.105
1785679208,0.105
1785682828,0.105
1785686408,0.105
1785690009,0.105
1785693611,0.115
1785697210,0.105
1785700809,0.115
1785704413,0.115
1785708009,0.135
1785711607,0.135
1785715210,0.125
1785718809,0.125
1785722420,0.125
1785726008,0.125
1785729610,0.125
1785733226,0.125
1785736813,0.125
1785740407,0.125
1785744009,0.115
1785747609,0.125
1785751222,0.125
1785754807,0.125
1785758410,0.135
1785762010,0.135
1785765610,0.125
1785769210,0.125
1785772808,0.125
1785776414,0.125
1785780009,0.115
1785783612,0.135
1785787215,0.135
1785790814,0.135
1785794414,0.135
1785798013,0.135
1785801612,0.135
1785805211,0.135
1785808809,0.135
1785812408,0.135
1785816010,0.135
1785819628,0.125
1785823227,0.135
1785826811,0.135
1785830410,0.135
1785834010,0.135
1785837609,0.135
1785841209,0.135
1785844810,0.165
1785848408,0.155
1785852011,0.165
1785855609,0.185
1785859214,0.195
1785862809,0.175
1785866409,0.175
1785870012,0.185
1785873609,0.185
1785877214,0.165
1785880811,0.155
1785884412,0.155
1785888013,0.165
1785891608,0.165
1785895208,0.155
1785898813,0.175
1785902413,0.175
1785906008,0.175
1785909621,0.175
1785913210,0.165
1785916811,0.165
1785920412,0.165
1785924012,0.165
1785927611,0.165
1785931213,0.16
1785934810,0.155
1785938408,0.165
1785942009,0.175
1785945622,0.175
1785949212,0.175
1785952824,0.165
1785956413,0.155
1785960014,0.145
1785963610,0.135
1785967209,0.135
1785970809,0.135
1785974411,0.145
1785978009,0.135
1785981611,0.135
1785985209,0.135
1785988816,0.145
1785992413,0.145
1785996009,0.145
1785999608,0.155
1786003211,0.155
1786006812,0.155
1786010409,0.155
1786014011,0.155
1786017616,0.165
1786021209,0.175
1786024809,0.175
1786028414,0.165
1786032018,0.165
1786035617,0.145
1786039210,0.145
1786042813,0.125
1786046412,0.115
1786050010,0.125
1786053612,0.135
1786057210,0.135
1786060812,0.125
1786064411,0.125
1786068029,0.135
1786071611,0.135
1786075209,0.125
1786078809,0.125
1786082409,0.125
1786086010,0.125
1786089609,0.125
1786093208,0.135
1786096808,0.135
1786100408,0.125
1786104014,0.135
1786107611,0.125
1786111210,0.135
1786114812,0.125
1786118411,0.125
1786122015,0.125
1786125612,0.135
1786129211,0.135
1786132813,0.135
1786136412,0.125
1786140013,0.125
1786143623,0.125
1786147215,0.125
1786150815,0.125
1786154409,0.125
1786158012,0.125
1786161624,0.125
1786165208,0.125
1786168811,0.125
1786172409,0.125
1786176008,0.125
1786179623,0.125
1786183224,0.125
1786186809,0.125
1786190439,0.115
1786194009,0.095
1786197610,0.095
1786201229,0.095
1786204813,0.095
1786208409,0.095
1786212014,0.095
1786215611,0.085
1786219224,0.085
1786222812,0.075
1786226411,0.075
1786230012,0.075
1786233626,0.075
1786237221,0.075
1786240816,0.075
1786244411,0.075
1786248007,0.065
1786251611,0.055
1786255220,0.065
1786258812,0.065
1786262411,0.065
1786266023,0.065
1786269613,0.065
1786273211,0.065
1786276814,0.065
1786280411,0.065
1786284009,0.065
1786287612,0.065
1786291211,0.065
1786294808,0.065
1786298423,0.055
1786302014,0.045
1786305612,0.045
1786309209,0.045
1786312813,0.045
1786316413,0.0425
1786320017,0.039
1786323611,0.0405
1786327212,0.0385
1786330809,0.0405
1786334409,0.0405
1786338009,0.0415
1786341609,0.0415
1786345209,0.0425
1786348811,0.0405
1786352427,0.0395
1786356012,0.0405
1786359609,0.0385
1786363212,0.0405
1786364650,0.0405
