timestamp,price
1783688404,0.655
1783692004,0.655
1783695605,0.655
1783699205,0.665
1783702804,0.685
1783706403,0.685
1783710004,0.685
1783713604,0.685
1783717203,0.685
1783724420,0.675
1783728006,0.685
1783731604,0.685
1783735204,0.685
1783738803,0.685
1783742406,0.685
1783746005,0.685
1783749604,0.685
1783753205,0.685
1783756805,0.685
1783760404,0.685
1783764004,0.685
1783767604,0.685
1783771204,0.685
1783774804,0.685
1783778404,0.685
1783782004,0.685
1783785604,0.685
1783789203,0.685
1783792805,0.685
1783796404,0.685
1783800005,0.685
1783803604,0.685
1783807203,0.685
1783810803,0.695
1783814418,0.695
1783818004,0.695
1783821605,0.695
1783825204,0.695
1783828804,0.695
1783832403,0.695
1783836003,0.695
1783839607,0.705
1783843203,0.705
1783846803,0.705
1783850404,0.705
1783854018,0.705
1783857607,0.705
1783861204,0.705
1783864804,0.705
1783868403,0.705
1783872004,0.705
1783875604,0.705
1783879205,0.705
1783882804,0.705
1783886405,0.705
1783890004,0.705
1783893606,0.705
1783897203,0.705
1783900806,0.705
1783904404,0.705
1783908003,0.705
1783911603,0.705
1783915203,0.705
1783918806,0.705
1783922404,0.705
1783926004,0.705
1783929606,0.705
1783933204,0.705
1783936804,0.705
1783940403,0.705
1783944005,0.705
1783947603,0.705
1783951218,0.695
1783954821,0.675
1783958404,0.665
1783962005,0.665
1783965603,0.665
1783969205,0.665
1783972804,0.665
1783976404,0.66
1783980004,0.665
1783983605,0.665
1783987205,0.665
1783990804,0.665
1783994404,0.665
1783998005,0.665
1784001604,0.665
1784005204,0.665
1784008804,0.665
1784012405,0.665
1784016004,0.665
1784019604,0.665
1784023205,0.665
1784026805,0.665
1784030408,0.665
1784034007,0.665
1784037611,0.665
1784041205,0.715
1784044811,0.715
1784048411,0.715
1784052013,0.725
1784055605,0.725
1784059205,0.725
1784062803,0.72
1784066403,0.72
1784070005,0.72
1784073605,0.72
1784077205,0.72
1784080808,0.72
1784084403,0.72
1784088004,0.72
1784091619,0.72
1784095204,0.725
1784098817,0.725
1784102420,0.725
1784106005,0.715
1784109604,0.715
1784113207,0.715
1784116817,0.715
1784120405,0.715
1784124005,0.715
1784127607,0.695
1784131205,0.67
1784134805,0.655
1784138407,0.655
1784142008,0.655
1784145605,0.655
1784149204,0.655
1784152804,0.655
1784156405,0.655
1784160004,0.655
1784163605,0.655
1784167204,0.655
1784170806,0.655
1784174405,0.655
1784178003,0.655
1784181603,0.655
1784185205,0.655
1784188804,0.655
1784192408,0.665
1784196005,0.665
1784199605,0.665
1784203204,0.665
1784206805,0.665
1784210404,0.645
1784214003,0.635
1784217603,0.635
1784221205,0.635
1784224818,0.615
1784228404,0.615
1784232005,0.615
1784235605,0.615
1784239204,0.615
1784242807,0.615
1784246406,0.615
1784250005,0.615
1784253604,0.615
1784257203,0.615
1784260805,0.615
1784264404,0.615
